t,x,y,heading,distance,velocity,acceleration,curvature,path,voltage,current
0,-1.02559e-14,0,-7.60125e-06,0,0,32.2598,0,0,,
0,,,,,-3.406,-32.2598,,-1,,
0,,,,,3.406,32.2598,,-1,,
0,3.80062e-06,0.5,,,0,32.2598,,1,12,262
0,-3.80062e-06,-0.5,,,0,32.2598,,2,12,262
0,0,0,0,,,,,3,,
0.01,-1.02559e-14,0,-7.60125e-06,0.00161299,0.322598,32.2598,0,0,,
0.01,,,,,-3.406,-32.2598,,-1,,
0.01,,,,,3.406,32.2598,,-1,,
0.01,3.80062e-06,0.5,,,0.322598,32.2101,,1,13.1181,261.596
0.01,-3.80062e-06,-0.5,,,0.322598,32.3095,,2,13.1551,262.404
0.01,0.00322598,0,0,,,,,3,,
0.02,0.00161299,-6.18041e-09,-6.20374e-08,0.00629919,0.614642,29.2044,0.0015408,0,,
0.02,,,,,-3.40338,-29.2044,,-1,,
0.02,,,,,3.40338,29.2044,,-1,,
0.02,0.00161302,0.5,,,0.614169,29.0014,,1,12.9518,235.537
0.02,0.00161296,-0.5,,,0.615116,29.4073,,2,13.1061,238.833
0.02,0.0093724,5.82092e-08,9.47043e-06,,,,,3,,
0.03,0.00629919,4.48511e-08,2.18415e-05,0.0137675,0.879025,26.4383,0.00601728,0,,
0.03,,,,,-3.39579,-26.4383,,-1,,
0.03,,,,,3.39579,26.4383,,-1,,
0.03,0.00628827,0.5,,,0.87638,25.9897,,1,12.7553,211.077
0.03,0.00631012,-0.5,,,0.88167,26.8869,,2,13.1077,218.363
0.03,0.0181627,6.06402e-07,6.23638e-05,,,,,3,,
0.04,0.0137675,4.12872e-07,9.39497e-05,0.0237545,1.11837,23.9342,0.0131123,0,,
0.04,,,,,-3.38382,-23.9342,,-1,,
0.04,,,,,3.38382,23.9342,,-1,,
0.04,0.0137206,0.5,,,1.11103,23.186,,1,12.5391,188.306
0.04,0.0138145,-0.5,,,1.1257,24.6824,,2,13.1474,200.459
0.04,0.0293463,2.94387e-06,0.000209007,,,,,3,,
0.05,0.0237545,2.12924e-06,0.000272167,0.0360215,1.33504,21.6673,0.0225118,0,,
0.05,,,,,-3.36809,-21.6673,,-1,,
0.05,,,,,3.36809,21.6673,,-1,,
