t,x,y,heading,distance,velocity,acceleration,curvature,path,voltage,current
0,2.35771e-14,1.5,-4.76417e-07,0,0,12.8718,0,0,,
0,,,,,-3.33449,-12.8718,,-1,,
0,,,,,3.33449,12.8718,,-1,,
0,2.90424e-07,2.1096,,,0,12.8718,,1,12,262
0,-2.90424e-07,0.8904,,,0,12.8718,,2,12,262
0,0,0,0,,,,,3,,
0.00505,2.35771e-14,1.5,-4.76417e-07,0.000160897,0.0643589,12.8718,0,0,,
0.00505,,,,,-3.33449,-12.8718,,-1,,
0.00505,,,,,3.33449,12.8718,,-1,,
0.00505,2.90424e-07,2.1096,,,0.0643589,12.8566,,1,12.2175,261.692
0.00505,-2.90424e-07,0.8904,,,0.0643589,12.8869,,2,12.2457,262.308
0.00505,0.000643589,0,0,,,,,3,,
0.0101,0.000160897,1.5,-5.35968e-09,0.000640483,0.127476,12.6233,0.000964082,0,,
0.0101,,,,,-3.33253,-12.6233,,-1,,
0.0101,,,,,3.33253,12.6233,,-1,,
0.0101,0.0001609,2.1096,,,0.127401,12.5566,,1,12.1646,255.584
0.0101,0.000160894,0.8904,,,0.12755,12.6901,,2,12.2897,258.302
0.0101,0.00191834,1.91004e-09,1.49836e-06,,,,,3,,
0.01515,0.000640483,1.5,1.39872e-06,0.00143261,0.189374,12.3797,0.00383772,0,,
0.01515,,,,,-3.3267,-12.3797,,-1,,
0.01515,,,,,3.3267,12.3797,,-1,,
0.01515,0.000639631,2.1096,,,0.188931,12.2197,,1,12.072,248.728
0.01515,0.000641336,0.8904,,,0.189817,12.5396,,2,12.3735,255.24
0.01515,0.00381208,2.15274e-08,1.03591e-05,,,,,3,,
0.0202,0.00143261,1.5,6.38289e-06,0.00253124,0.250078,12.1408,0.00857267,0,,
0.0202,,,,,-3.31715,-12.1408,,-1,,
0.0202,,,,,3.31715,12.1408,,-1,,
0.0202,0.00142872,2.1096,,,0.248771,11.8498,,1,11.9425,241.199
0.0202,0.0014365,0.8904,,,0.251385,12.4317,,2,12.4944,253.042
0.0202,0.00631286,1.12798e-07,3.64967e-05,,,,,3,,
0.02525,0.00253124,1.5,1.93775e-05,0.00393046,0.30961,11.9064,0.0151061,0,,
0.02525,,,,,-3.30406,-11.9064,,-1,,
0.02525,,,,,3.30406,11.9064,,-1,,
0.02525,0.00251942,2.1096,,,0.306759,11.4503,,1,11.7788,233.067
0.02525,0.00254305,0.8904,,,0.312461,12.3625,,2,12.6497,251.634
0.02525,0.00940896,4.02341e-07,9.35187e-05,,,,,3,,
0.0303,0.00393046,1.5,4.56826e-05,0.00562446,0.367993,11.6766,0.0233498,0,,
0.0303,,,,,-3.28769,-11.6766,,-1,,
0.0303,,,,,3.28769,11.6766,,-1,,
0.0303,0.00390261,2.1096,,,0.362755,11.0304,,1,11.5888,224.519
0.0303,0.0039583,0.8904,,,0.373231,12.3229,,2,12.8314,250.827
0.0303,0.0130889,1.13199e-06,0.000198279,,,,,3,,
0.03535,0.00562446,1.5,9.40289e-05,0.00760757,0.425249,11.4512,0.0331449,0,,
0.03535,,,,,-3.26845,-11.4512,,-1,,
0.03535,,,,,3.26845,11.4512,,-1,,
0.03535,0.00556714,2.1096,,,0.416657,10.5871,,1,11.3695,215.497
0.03535,0.00568178,0.8904,,,0.433841,12.3154,,2,13.0426,250.675
0.03535,0.0173414,2.70594e-06,0.000370124,,,,,3,,
0.0404,0.00760757,1.5,0.000170871,0.00987419,0.4814,11.2302,0.0443029,0,,
0.0404,,,,,-3.2468,-11.2302,,-1,,
0.0404,,,,,3.2468,11.2302,,-1,,
0.0404,0.00750341,2.1096,,,0.468399,10.1421,,1,11.1408,206.438
0.0404,0.00771173,0.8904,,,0.494402,12.3184,,2,13.2633,250.736
0.0404,0.0221554,5.73948e-06,0.000630148,,,,,3,,
0.04545,0.00987419,1.5,0.000285016,0.0124189,0.536468,11.0135,0.0565415,0,,
0.04545,,,,,-3.22338,-11.0135,,-1,,
0.04545,,,,,3.22338,11.0135,,-1,,
0.04545,0.00970045,2.1096,,,0.517977,9.72094,,1,10.9266,197.866
0.04545,0.0100479,0.890401,,,0.554959,12.306,,2,13.4697,250.484
0.04545,0.0275201,1.1104e-05,0.000999964,,,,,3,,
0.0505,0.0124189,1.5,0.000446312,0.0152362,0.590472,10.8009,0.0694239,0,,
0.0505,,,,,-3.1991,-10.8009,,-1,,
0.0505,,,,,3.1991,10.8009,,-1,,
0.0505,0.0121468,2.1096,,,0.565483,9.31282,,1,10.7171,189.559
0.0505,0.0126909,0.890402,,,0.615462,12.289,,2,13.6716,250.138
0.0505,0.0334248,1.99596e-05,0.00149975,,,,,3,,
0.05555,0.0152362,1.5,0.000660745,0.018321,0.643434,10.5924,0.082633,0,,
0.05555,,,,,-3.17457,-10.5924,,-1,,
0.05555,,,,,3.17457,10.5924,,-1,,
0.05555,0.0148334,2.1096,,,0.611023,8.9133,,1,10.5085,181.427
0.05555,0.015639,0.890404,,,0.675846,12.2716,,2,13.8727,249.783
0.05555,0.0398591,3.37804e-05,0.00214798,,,,,3,,
0.0606,0.018321,1.50001,0.000936237,0.021668,0.695374,10.388,0.0956013,0,,
0.0606,,,,,-3.15086,-10.388,,-1,,
0.0606,,,,,3.15086,10.388,,-1,,
0.0606,0.0177502,2.10961,,,0.654849,8.6448,,1,10.416,175.962
0.0606,0.0188917,0.890406,,,0.7359,12.1312,,2,13.9579,246.925
0.0606,0.0468128,5.4353e-05,0.00295849,,,,,3,,
0.06565,0.021668,1.50001,0.00127662,0.0252722,0.746312,10.1875,0.107861,0,,
0.06565,,,,,-3.12877,-10.1875,,-1,,
0.06565,,,,,3.12877,10.1875,,-1,,
0.06565,0.0208898,2.10961,,,0.697241,8.3279,,1,10.2731,169.511
0.06565,0.0224462,0.89041,,,0.795383,12.0471,,2,14.0936,245.214
0.06565,0.0542759,8.3757e-05,0.00393992,,,,,3,,
0.0707,0.0252722,1.50001,0.0016869,0.0291287,0.796266,9.99086,0.118779,0,,
0.0707,,,,,-3.10935,-9.99086,,-1,,
0.0707,,,,,3.10935,9.99086,,-1,,
0.0707,0.0242439,2.10961,,,0.73861,8.19045,,1,10.2938,166.713
0.0707,0.0263005,0.890416,,,0.853922,11.7913,,2,14.0657,240.007
0.0707,0.0622384,0.000124311,0.00509304,,,,,3,,
0.07575,0.0291286,1.50002,0.00216395,0.0332325,0.845256,9.79803,0.127906,0,,
0.07575,,,,,-3.0933,-9.79803,,-1,,
0.07575,,,,,3.0933,9.79803,,-1,,
0.07575,0.0278095,2.10962,,,0.77935,8.19508,,1,10.4447,166.808
0.07575,0.0304478,0.890424,,,0.911162,11.401,,2,13.9079,232.063
0.07575,0.0706908,0.000178501,0.00641116,,,,,3,,
0.0808,0.0332324,1.50003,0.00270215,0.0375789,0.893301,9.60892,0.135045,0,,
0.0808,,,,,-3.08086,-9.60892,,-1,,
0.0808,,,,,3.08086,9.60892,,-1,,
0.0808,0.0315852,2.10963,,,0.819762,8.32061,,1,10.7072,169.363
0.0808,0.0348797,0.890435,,,0.96684,10.8972,,2,13.6386,221.809
0.0808,0.0796236,0.00024891,0.00788195,,,,,3,,
0.08585,0.0375788,1.50005,0.00330937,0.0421632,0.940418,9.42346,0.139488,0,,
0.08585,,,,,-3.07317,-9.42346,,-1,,
0.08585,,,,,3.07317,9.42346,,-1,,
0.08585,0.0355614,2.10964,,,0.860453,8.07105,,1,10.621,164.283
0.08585,0.0395962,0.890449,,,1.02038,10.7759,,2,13.7181,219.338
0.08585,0.0890273,0.000338072,0.00948126,,,,,3,,
0.0909,0.0421631,1.50006,0.00395865,0.0469808,0.986626,9.24158,0.143325,0,,
0.0909,,,,,-3.06656,-9.24158,,-1,,
0.0909,,,,,3.06656,9.24158,,-1,,
0.0909,0.0397499,2.10966,,,0.900424,8.37974,,1,11.0526,170.566
0.0909,0.0445763,0.890467,,,1.07283,10.1034,,2,13.28,205.651
0.0909,0.098893,0.000448624,0.0112053,,,,,3,,
0.09595,0.0469807,1.50008,0.00465436,0.0520272,1.03194,9.0632,0.143767,0,,
0.09595,,,,,-3.0658,-9.0632,,-1,,
0.09595,,,,,3.0658,9.0632,,-1,,
0.09595,0.0441434,2.10968,,,0.941503,8.2094,,1,11.0416,167.099
0.09595,0.0498179,0.890489,,,1.12238,9.91701,,2,13.2845,201.857
0.09595,0.109212,0.000582919,0.0130141,,,,,3,,
0.101,0.052027,1.50011,0.0053834,0.057298,1.07638,8.88828,0.143381,0,,
0.101,,,,,-3.06646,-8.88828,,-1,,
0.101,,,,,3.06646,8.88828,,-1,,
0.101,0.0487453,2.1097,,,0.982302,8.4693,,1,11.4308,172.389
0.101,0.0553087,0.890517,,,1.17047,9.30725,,2,12.8891,189.446
0.101,0.119974,0.000743248,0.0148957,,,,,3,,
0.10605,0.0572977,1.50014,0.00613215,0.0627889,1.11997,8.71672,0.14071,0,,
0.10605,,,,,-3.07106,-8.71672,,-1,,
0.10605,,,,,3.07106,8.71672,,-1,,
0.10605,0.0535596,2.10973,,,1.0239,8.35651,,1,11.4753,170.093
0.10605,0.0610359,0.89055,,,1.21603,9.07694,,2,12.8384,184.758
0.10605,0.131172,0.000931585,0.0168171,,,,,3,,
0.1111,0.0627885,1.50017,0.00689807,0.0684956,1.16271,8.54848,0.137329,0,,
0.1111,,,,,-3.0769,-8.54848,,-1,,
0.1111,,,,,3.0769,8.54848,,-1,,
0.1111,0.0585835,2.10976,,,1.06537,8.4705,,1,11.7308,172.414
0.1111,0.0669935,0.890589,,,1.26005,8.62646,,2,12.5768,175.588
0.1111,0.142797,0.00114974,0.0187638,,,,,3,,
0.11615,0.068495,1.50022,0.00766881,0.0744139,1.20463,8.38349,0.132634,0,,
0.11615,,,,,-3.08505,-8.38349,,-1,,
0.11615,,,,,3.08505,8.38349,,-1,,
0.11615,0.0638202,2.1098,,,1.10723,8.48034,,1,11.8906,172.614
0.11615,0.0731699,0.890634,,,1.30203,8.28663,,2,12.4111,168.671
0.11615,0.154841,0.00139922,0.0207118,,,,,3,,
0.1212,0.0744132,1.50026,0.00843826,0.0805398,1.24574,8.22168,0.127264,0,,
0.1212,,,,,-3.09442,-8.22168,,-1,,
0.1212,,,,,3.09442,8.22168,,-1,,
0.1212,0.0692693,2.10984,,,1.14909,8.46611,,1,12.028,172.324
0.1212,0.0795571,0.890685,,,1.34238,7.97724,,2,12.2679,162.374
0.1212,0.167295,0.00168129,0.0226447,,,,,3,,
0.12625,0.0805389,1.50032,0.00920048,0.0868693,1.28605,8.06299,0.12147,0,,
0.12625,,,,,-3.1046,-8.06299,,-1,,
0.12625,,,,,3.1046,8.06299,,-1,,
0.12625,0.0749303,2.10989,,,1.19082,8.4277,,1,12.1424,171.543
0.12625,0.0861474,0.890743,,,1.38128,7.69829,,2,12.1478,156.696
0.12625,0.180152,0.00199698,0.0245493,,,,,3,,
