time, curvature, dcurvature
0, 0, 5.99192
0.00505, 0, 5.99192
0.0101, 0.00241623, 5.99192
0.01515, 0.00953506, 5.96692
0.0202, 0.0210246, 5.8781
0.02525, 0.0363631, 5.65325
0.0303, 0.0546953, 5.33028
0.03535, 0.07472, 4.85074
0.0404, 0.0947988, 3.85994
0.04545, 0.113074, 3.14457
0.0505, 0.127766, 1.92633
0.05555, 0.1372, 1.02224
0.0606, 0.143322, 0.0916676
0.06565, 0.14399, 0.0916676
0.0707, 0.140782, -0.506745
0.07575, 0.135357, -0.773754
0.0808, 0.127709, -0.932627
0.08585, 0.119186, -0.948011
0.0909, 0.110395, -0.922191
0.09595, 0.101763, -0.833568
0.101, 0.093603, -0.779375
0.10605, 0.08601, -0.665805
0.1111, 0.0791176, -0.610095
0.11615, 0.0728223, -0.506166
0.1212, 0.067255, -0.459012
0.12625, 0.0622255, -0.415376
0.1313, 0.0577311, -0.338667
0.13635, 0.0537626, -0.305371
0.1414, 0.0501987, -0.275207
0.14645, 0.046996, -0.24154
0.1515, 0.0441596, -0.206574
0.15655, 0.0416181, -0.186177
0.1616, 0.0393351, -0.159419
0.16665, 0.0372903, -0.143848
0.1717, 0.0354447, -0.129881
0.17675, 0.0337766, -0.117351
0.1818, 0.0322696, -0.100927
0.18685, 0.0309052, -0.0913645
0.1919, 0.0296648, -0.0827751
0.19695, 0.0285351, -0.075054
0.202, 0.0275044, -0.0681081
0.20705, 0.0265625, -0.0618542
0.2121, 0.0257001, -0.0562179
0.21715, 0.0249092, -0.0511331
0.2222, 0.0241826, -0.046541
0.22725, 0.0235139, -0.0423892
0.2323, 0.0228976, -0.0386311
0.23735, 0.0223287, -0.0352253
0.2424, 0.0218039, -0.0336428
0.24745, 0.0213191, -0.0306976
0.2525, 0.0208699, -0.0280199
0.25755, 0.020453, -0.0255822
0.2626, 0.0200658, -0.0233601
0.26765, 0.0197078, -0.0223229
0.2727, 0.0193748, -0.0203837
0.27775, 0.0190646, -0.0186098
0.2828, 0.0187767, -0.0177795
0.28785, 0.0185091, -0.016223
0.2929, 0.0182592, -0.0147938
0.29795, 0.0180276, -0.014123
0.303, 0.0178112, -0.0130134
0.30805, 0.0176102, -0.0121238
0.3131, 0.0174231, -0.0112862
0.31815, 0.0172493, -0.0102438
0.3232, 0.0170877, -0.0095134
0.32825, 0.0169375, -0.0088235
0.3333, 0.0167982, -0.00817121
0.33835, 0.0166693, -0.00755384
0.3434, 0.0165501, -0.00696893
0.34845, 0.01644, -0.00641416
0.3535, 0.0163386, -0.00588741
0.35855, 0.0162454, -0.00555082
0.3636, 0.0161598, -0.00506644
0.36865, 0.0160815, -0.00460512
0.3737, 0.0160099, -0.00416523
0.37875, 0.0159449, -0.00374526
0.3838, 0.0158862, -0.00347565
0.38885, 0.0158335, -0.0030858
0.3939, 0.0157862, -0.00271234
0.39895, 0.0157443, -0.00247189
0.404, 0.0157076, -0.00212318
0.40905, 0.0156757, -0.0017879
0.4141, 0.0156485, -0.00157136
0.41915, 0.0156259, -0.00125634
0.4242, 0.0156076, -0.000952292
0.42925, 0.0155936, -0.000755275
0.4343, 0.0155835, -0.000467698
0.43935, 0.0155774, -0.000280959
0.4444, 0.015575, -7.79341e-06
0.44945, 0.0155763, 0.000169978
0.4545, 0.0155811, 0.000430604
0.45955, 0.0155894, 0.000600597
0.4646, 0.015601, 0.000850386
0.46965, 0.0156159, 0.00101368
0.4747, 0.015634, 0.00117459
0.47975, 0.0156552, 0.00141179
0.4848, 0.0156794, 0.00156737
0.48985, 0.0157067, 0.00179726
0.4949, 0.0157369, 0.0019484
0.49995, 0.0157699, 0.002098
0.505, 0.0158058, 0.00231978
0.51005, 0.0158445, 0.00246608
0.5151, 0.0158858, 0.00261127
0.52015, 0.0159299, 0.00282723
0.5252, 0.0159767, 0.00297015
0.53025, 0.016026, 0.00311236
0.5353, 0.0160781, 0.00332458
0.54035, 0.0161327, 0.00346548
0.5454, 0.01619, 0.00360605
0.55045, 0.0162496, 0.00374637
0.5555, 0.0163118, 0.00395663
0.56055, 0.0163766, 0.00409679
0.5656, 0.0164439, 0.00423706
0.57065, 0.0165137, 0.00437753
0.5757, 0.016586, 0.00458882
0.58075, 0.0166609, 0.00473021
0.5858, 0.0167382, 0.00487214
0.59085, 0.016818, 0.00501468
0.5959, 0.0169002, 0.00515795
0.60095, 0.016985, 0.0053744
0.606, 0.0170724, 0.00551986
0.61105, 0.0171623, 0.00566637
0.6161, 0.0172548, 0.00581401
0.62115, 0.0173498, 0.00596288
0.6262, 0.0174472, 0.00611306
0.63125, 0.0175471, 0.00626467
0.6363, 0.0176498, 0.00649493
0.64135, 0.0177551, 0.00665049
0.6464, 0.017863, 0.00680779
0.65145, 0.0179737, 0.00696695
0.6565, 0.0180871, 0.00712805
0.66155, 0.018203, 0.00729119
0.6666, 0.0183218, 0.00745649
0.67165, 0.0184433, 0.00762404
0.6767, 0.0185678, 0.00787981
0.68175, 0.0186951, 0.00805346
0.6868, 0.018825, 0.00822973
0.69185, 0.0189579, 0.00840874
0.6969, 0.0190938, 0.0085906
0.70195, 0.0192327, 0.00877543
0.707, 0.0193748, 0.00896335
0.71205, 0.01952, 0.00915448
0.7171, 0.0196684, 0.00934894
0.72215, 0.0198197, 0.00954686
0.7272, 0.0199744, 0.00974837
0.73225, 0.0201325, 0.00995361
0.7373, 0.0202939, 0.0101627
0.74235, 0.0204589, 0.0103758
0.7474, 0.0206269, 0.0107033
0.75245, 0.0207986, 0.010927
0.7575, 0.0209739, 0.0111553
0.76255, 0.021153, 0.0113882
0.7676, 0.0213359, 0.011626
0.77265, 0.0215227, 0.0118688
0.7777, 0.0217135, 0.0121168
0.78275, 0.0219078, 0.0123701
0.7878, 0.0221062, 0.012629
0.79285, 0.0223088, 0.0128936
0.7979, 0.0225157, 0.0131642
0.80295, 0.0227271, 0.0134409
0.808, 0.022943, 0.0137239
0.81305, 0.0231633, 0.0140135
0.8181, 0.0233882, 0.0143098
0.82315, 0.0236181, 0.0146131
0.8282, 0.0238523, 0.0149237
0.83325, 0.0240917, 0.0152418
0.8383, 0.0243362, 0.0155676
0.84335, 0.0245861, 0.0159014
0.8484, 0.024841, 0.0162435
0.85345, 0.0251015, 0.0165941
0.8585, 0.0253678, 0.0169535
0.86355, 0.0256389, 0.0173221
0.8686, 0.025916, 0.0177002
0.87365, 0.0261993, 0.018088
0.8787, 0.0264889, 0.0184859
0.88375, 0.026785, 0.0188942
0.8888, 0.0270876, 0.0193134
0.89385, 0.0273962, 0.0197437
